belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.84891639 0.15108361],0,[0.95 0.  ],0
[0.34455384 0.65544616],0,[0.95 0.  ],1
[0.00625793 0.99374207],1,[-9.5   0.95],None
[0.18263145 0.81736855],0,[0.95 0.  ],0
[0.09536351 0.90463649],0,[0.95 0.  ],0
[0.05173688 0.94826312],1,[-9.5   0.95],None
[0.83664118 0.16335882],0,[0.95 0.  ],0
[0.34097063 0.65902937],0,[0.95 0.  ],1
[0.00619097 0.99380903],1,[-9.5   0.95],None
[0.48222418 0.51777582],0,[0.95 0.  ],0
[0.22306278 0.77693722],0,[0.95 0.  ],1
[0.00401007 0.99598993],1,[-9.5   0.95],None
[0.95065505 0.04934495],0,[0.95 0.  ],0
[0.37315736 0.62684264],0,[0.95 0.  ],1
[0.00679391 0.99320609],1,[-9.5   0.95],None
[0.88612889 0.11387111],0,[0.95 0.  ],0
[0.3552389 0.6447611],0,[0.95 0.  ],1
[0.00645785 0.99354215],1,[-9.5   0.95],None
[0.40168389 0.59831611],0,[0.95 0.  ],0
[0.1916884 0.8083116],0,[0.95 0.  ],1
[0.00343699 0.99656301],1,[-9.5   0.95],None
[0.11367525 0.88632475],0,[0.95 0.  ],0
[0.06117095 0.93882905],1,[-9.5   0.95],None
[0.7285592 0.2714408],0,[0.95 0.  ],0
[0.30809849 0.69190151],0,[0.95 0.  ],1
[0.00557858 0.99442142],1,[-9.5   0.95],None
[0.64555695 0.35444305],0,[0.95 0.  ],0
[0.28112416 0.71887584],0,[0.95 0.  ],0
[0.14082825 0.85917175],0,[0.95 0.  ],0
[0.07488148 0.92511852],1,[-9.5   0.95],None
[0.35601855 0.64398145],0,[0.95 0.  ],0
[0.1730011 0.8269989],0,[0.95 0.  ],1
[0.00309709 0.99690291],1,[-9.5   0.95],None
[0.51369212 0.48630788],0,[0.95 0.  ],0
[0.23480423 0.76519577],0,[0.95 0.  ],0
[0.11991591 0.88008409],0,[0.95 0.  ],0
[0.06435121 0.93564879],1,[-9.5   0.95],None
[0.74727444 0.25272556],0,[0.95 0.  ],0
[0.31396656 0.68603344],0,[0.95 0.  ],1
[0.00568765 0.99431235],1,[-9.5   0.95],None
[0.14031217 0.85968783],0,[0.95 0.  ],0
[0.07462393 0.92537607],1,[-9.5   0.95],None
[0.19423615 0.80576385],0,[0.95 0.  ],0
[0.10091945 0.89908055],0,[0.95 0.  ],1
[0.00179586 0.99820414],1,[-9.5   0.95],None
[0.35629885 0.64370115],0,[0.95 0.  ],0
[0.17311789 0.82688211],0,[0.95 0.  ],1
