belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.31425083 0.68574917],0,[0.95 0.  ],1
[0.00569293 0.99430707],1,[-9.5   0.95],None
[0.45937731 0.54062269],0,[0.95 0.  ],0
[0.21436013 0.78563987],0,[0.95 0.  ],1
[0.0038508 0.9961492],1,[-9.5   0.95],None
[0.76902069 0.23097931],0,[0.95 0.  ],0
[0.32069025 0.67930975],0,[0.95 0.  ],1
[0.00581275 0.99418725],1,[-9.5   0.95],None
[0.36054299 0.63945701],0,[0.95 0.  ],0
[0.17488303 0.82511697],0,[0.95 0.  ],1
[0.00313127 0.99686873],1,[-9.5   0.95],None
[0.45300133 0.54699867],0,[0.95 0.  ],0
[0.2119041 0.7880959],0,[0.95 0.  ],1
[0.0038059 0.9961941],1,[-9.5   0.95],None
[0.66219163 0.33780837],0,[0.95 0.  ],0
[0.28665806 0.71334194],0,[0.95 0.  ],1
[0.00518098 0.99481902],1,[-9.5   0.95],None
[0.49926752 0.50073248],0,[0.95 0.  ],0
[0.22945678 0.77054322],0,[0.95 0.  ],1
[0.00412723 0.99587277],1,[-9.5   0.95],None
[0.22553986 0.77446014],0,[0.95 0.  ],0
[0.1156351 0.8843649],0,[0.95 0.  ],1
[0.00206024 0.99793976],1,[-9.5   0.95],None
[0.06730278 0.93269722],1,[-9.5   0.95],None
[0.3628218 0.6371782],0,[0.95 0.  ],0
[0.17582832 0.82417168],0,[0.95 0.  ],0
[0.09208054 0.90791946],0,[0.95 0.  ],0
[0.05002918 0.94997082],1,[-9.5   0.95],None
[0.55980699 0.44019301],0,[0.95 0.  ],0
[0.25151687 0.74848313],0,[0.95 0.  ],1
[0.00453241 0.99546759],1,[-9.5   0.95],None
[0.47468111 0.52531889],0,[0.95 0.  ],0
[0.22020633 0.77979367],0,[0.95 0.  ],0
[0.1131554 0.8868446],0,[0.95 0.  ],0
[0.06090524 0.93909476],1,[-9.5   0.95],None
[0.90128218 0.09871782],0,[0.95 0.  ],0
[0.35951511 0.64048489],0,[0.95 0.  ],1
[0.00653795 0.99346205],1,[-9.5   0.95],None
[0.82492877 0.17507123],0,[0.95 0.  ],1
[0.01561862 0.98438138],1,[-9.5   0.95],None
[0.00383609 0.99616391],1,[-9.5   0.95],None
[0.24566229 0.75433771],0,[0.95 0.  ],0
[0.12489084 0.87510916],0,[0.95 0.  ],1
[0.00222686 0.99777314],1,[-9.5   0.95],None
[0.8106995 0.1893005],0,[0.95 0.  ],0
[0.33330013 0.66669987],0,[0.95 0.  ],0
[0.16344745 0.83655255],0,[0.95 0.  ],0
[0.08605624 0.91394376],0,[0.95 0.  ],0
[0.04688242 0.95311758],1,[-9.5   0.95],None
[0.74234894 0.25765106],0,[0.95 0.  ],1
[0.01395331 0.98604669],1,[-9.5   0.95],None
[0.37810746 0.62189254],0,[0.95 0.  ],0
[0.18212492 0.81787508],0,[0.95 0.  ],1
[0.00326291 0.99673709],1,[-9.5   0.95],None
[0.38052183 0.61947817],0,[0.95 0.  ],0
[0.1831125 0.8168875],0,[0.95 0.  ],1
[0.00328087 0.99671913],1,[-9.5   0.95],None
[9.49684239e-04 9.99050316e-01],1,[-9.5   0.95],None
[0.16824399 0.83175601],0,[0.95 0.  ],0
[0.08839781 0.91160219],0,[0.95 0.  ],1
[0.0015714 0.9984286],1,[-9.5   0.95],None
[0.27938521 0.72061479],0,[0.95 0.  ],0
[0.14005761 0.85994239],0,[0.95 0.  ],1
[0.00250045 0.99749955],1,[-9.5   0.95],None
[0.56718052 0.43281948],0,[0.95 0.  ],0
[0.25413639 0.74586361],0,[0.95 0.  ],1
[0.00458063 0.99541937],1,[-9.5   0.95],None
[0.46282477 0.53717523],0,[0.95 0.  ],0
[0.21568308 0.78431692],0,[0.95 0.  ],1
[0.003875 0.996125],1,[-9.5   0.95],None
[0.06648516 0.93351484],1,[-9.5   0.95],None
[0.87987285 0.12012715],0,[0.95 0.  ],0
[0.35346096 0.64653904],0,[0.95 0.  ],1
[0.00642456 0.99357544],1,[-9.5   0.95],None
[0.85413857 0.14586143],0,[0.95 0.  ],0
[0.34606932 0.65393068],0,[0.95 0.  ],1
[0.00628626 0.99371374],1,[-9.5   0.95],None
[0.58771239 0.41228761],0,[0.95 0.  ],0
[0.26135601 0.73864399],0,[0.95 0.  ],1
[0.00471362 0.99528638],1,[-9.5   0.95],None
[0.3110137 0.6889863],0,[0.95 0.  ],0
[0.15390357 0.84609643],0,[0.95 0.  ],1
[0.00275081 0.99724919],1,[-9.5   0.95],None
[0.58050419 0.41949581],0,[0.95 0.  ],1
[0.01075852 0.98924148],1,[-9.5   0.95],None
[0.98933777 0.01066223],0,[0.95 0.  ],0
[0.38354533 0.61645467],0,[0.95 0.  ],0
[0.18434656 0.81565344],0,[0.95 0.  ],0
[0.09618814 0.90381186],0,[0.95 0.  ],0
[0.05216504 0.94783496],1,[-9.5   0.95],None
[0.80376997 0.19623003],0,[0.95 0.  ],0
[0.33122834 0.66877166],0,[0.95 0.  ],0
[0.16256748 0.83743252],0,[0.95 0.  ],0
[0.0856256 0.9143744],0,[0.95 0.  ],0
[0.04665683 0.95334317],1,[-9.5   0.95],None
[0.17744047 0.82255953],0,[0.95 0.  ],0
[0.09286026 0.90713974],0,[0.95 0.  ],0
[0.05043521 0.94956479],1,[-9.5   0.95],None
[0.4388791 0.5611209],0,[0.95 0.  ],0
[0.20642102 0.79357898],0,[0.95 0.  ],1
[0.00370572 0.99629428],1,[-9.5   0.95],None
[0.65704569 0.34295431],0,[0.95 0.  ],1
[0.01225821 0.98774179],1,[-9.5   0.95],None
[0.43005608 0.56994392],0,[0.95 0.  ],0
[0.20296485 0.79703515],0,[0.95 0.  ],1
[0.00364262 0.99635738],1,[-9.5   0.95],None
[0.00132453 0.99867547],1,[-9.5   0.95],None
[0.92253104 0.07746896],0,[0.95 0.  ],0
[0.36544026 0.63455974],0,[0.95 0.  ],1
[0.00664905 0.99335095],1,[-9.5   0.95],None
[0.91330197 0.08669803],0,[0.95 0.  ],0
[0.3628769 0.6371231],0,[0.95 0.  ],1
[0.00660097 0.99339903],1,[-9.5   0.95],None
[0.6383435 0.3616565],0,[0.95 0.  ],0
[0.27870387 0.72129613],0,[0.95 0.  ],1
[0.00503384 0.99496616],1,[-9.5   0.95],None
[0.59007953 0.40992047],0,[0.95 0.  ],1
[0.01094504 0.98905496],1,[-9.5   0.95],None
[0.65237642 0.34762358],0,[0.95 0.  ],0
[0.28340078 0.71659922],0,[0.95 0.  ],1
[0.0051207 0.9948793],1,[-9.5   0.95],None
[0.77655863 0.22344137],0,[0.95 0.  ],1
[0.01464025 0.98535975],1,[-9.5   0.95],None
[0.1868587 0.8131413],0,[0.95 0.  ],0
[0.09739379 0.90260621],0,[0.95 0.  ],1
[0.00173261 0.99826739],1,[-9.5   0.95],None
[0.75431944 0.24568056],0,[0.95 0.  ],1
[0.01419321 0.98580679],1,[-9.5   0.95],None
[0.06703292 0.93296708],1,[-9.5   0.95],None
[0.0704149 0.9295851],1,[-9.5   0.95],None
[0.4990237 0.5009763],0,[0.95 0.  ],0
[0.22936589 0.77063411],0,[0.95 0.  ],1
[0.00412556 0.99587444],1,[-9.5   0.95],None
[0.06270781 0.93729219],1,[-9.5   0.95],None
[0.74622761 0.25377239],0,[0.95 0.  ],0
[0.31364034 0.68635966],0,[0.95 0.  ],1
[0.00568158 0.99431842],1,[-9.5   0.95],None
[0.76565967 0.23434033],0,[0.95 0.  ],0
[0.31965763 0.68034237],0,[0.95 0.  ],1
[0.00579353 0.99420647],1,[-9.5   0.95],None
[0.77111092 0.22888908],0,[0.95 0.  ],0
[0.32133124 0.67866876],0,[0.95 0.  ],0
[0.15834339 0.84165661],0,[0.95 0.  ],0
[0.08355383 0.91644617],0,[0.95 0.  ],0
[0.0455703 0.9544297],1,[-9.5   0.95],None
[0.87810658 0.12189342],0,[0.95 0.  ],0
[0.35295766 0.64704234],0,[0.95 0.  ],1
[0.00641513 0.99358487],1,[-9.5   0.95],None
[0.71940957 0.28059043],0,[0.95 0.  ],0
[0.30520173 0.69479827],0,[0.95 0.  ],1
[0.00552477 0.99447523],1,[-9.5   0.95],None
[0.95743567 0.04256433],0,[0.95 0.  ],0
[0.37499698 0.62500302],0,[0.95 0.  ],1
[0.00682847 0.99317153],1,[-9.5   0.95],None
[0.77309092 0.22690908],0,[0.95 0.  ],1
[0.01457043 0.98542957],1,[-9.5   0.95],None
[0.35041811 0.64958189],0,[0.95 0.  ],0
[0.17066215 0.82933785],0,[0.95 0.  ],1
[0.00305462 0.99694538],1,[-9.5   0.95],None
[0.94707019 0.05292981],0,[0.95 0.  ],1
[0.01812678 0.98187322],1,[-9.5   0.95],None
[0.04384697 0.95615303],1,[-9.5   0.95],None
[0.85339282 0.14660718],0,[0.95 0.  ],0
[0.34585322 0.65414678],0,[0.95 0.  ],1
[0.00628222 0.99371778],1,[-9.5   0.95],None
[0.55312689 0.44687311],0,[0.95 0.  ],0
[0.24913133 0.75086867],0,[0.95 0.  ],1
[0.00448852 0.99551148],1,[-9.5   0.95],None
[0.4562165 0.5437835],0,[0.95 0.  ],0
[0.21314409 0.78685591],0,[0.95 0.  ],1
[0.00382857 0.99617143],1,[-9.5   0.95],None
[0.66072293 0.33927707],0,[0.95 0.  ],0
[0.28617211 0.71382789],0,[0.95 0.  ],0
[0.14305908 0.85694092],0,[0.95 0.  ],0
[0.07599342 0.92400658],1,[-9.5   0.95],None
[0.52736412 0.47263588],0,[0.95 0.  ],0
[0.23981934 0.76018066],0,[0.95 0.  ],1
[0.00431737 0.99568263],1,[-9.5   0.95],None
[0.856699 0.143301],0,[0.95 0.  ],0
[0.34681043 0.65318957],0,[0.95 0.  ],1
[0.00630012 0.99369988],1,[-9.5   0.95],None
[0.05141567 0.94858433],1,[-9.5   0.95],None
[0.44645108 0.55354892],0,[0.95 0.  ],0
[0.20936834 0.79063166],0,[0.95 0.  ],1
[0.00375956 0.99624044],1,[-9.5   0.95],None
[0.41055279 0.58944721],0,[0.95 0.  ],0
[0.19524025 0.80475975],0,[0.95 0.  ],1
[0.00350172 0.99649828],1,[-9.5   0.95],None
[0.37857564 0.62142436],0,[0.95 0.  ],0
[0.18231658 0.81768342],0,[0.95 0.  ],1
[0.00326639 0.99673361],1,[-9.5   0.95],None
[0.32159536 0.67840464],0,[0.95 0.  ],0
[0.15845655 0.84154345],0,[0.95 0.  ],1
[0.00283326 0.99716674],1,[-9.5   0.95],None
[0.63970323 0.36029677],0,[0.95 0.  ],0
[0.27916105 0.72083895],0,[0.95 0.  ],1
[0.00504229 0.99495771],1,[-9.5   0.95],None
[0.06364153 0.93635847],1,[-9.5   0.95],None
[0.74706656 0.25293344],0,[0.95 0.  ],0
[0.3139018 0.6860982],0,[0.95 0.  ],1
[0.00568644 0.99431356],1,[-9.5   0.95],None
[0.67354817 0.32645183],0,[0.95 0.  ],0
[0.29039851 0.70960149],0,[0.95 0.  ],1
[0.00525024 0.99474976],1,[-9.5   0.95],None
[0.62327511 0.37672489],0,[0.95 0.  ],1
[0.01159408 0.98840592],1,[-9.5   0.95],None
[0.43030309 0.56969691],0,[0.95 0.  ],1
[0.00787256 0.99212744],1,[-9.5   0.95],None
[0.52972982 0.47027018],0,[0.95 0.  ],0
[0.24068192 0.75931808],0,[0.95 0.  ],1
[0.00433322 0.99566678],1,[-9.5   0.95],None
[0.36363185 0.63636815],0,[0.95 0.  ],0
[0.17616394 0.82383606],0,[0.95 0.  ],1
[0.00315454 0.99684546],1,[-9.5   0.95],None
[0.73944218 0.26055782],0,[0.95 0.  ],0
[0.31152007 0.68847993],0,[0.95 0.  ],1
[0.00564216 0.99435784],1,[-9.5   0.95],None
[0.90384327 0.09615673],0,[0.95 0.  ],0
[0.36023364 0.63976636],0,[0.95 0.  ],0
[0.17475457 0.82524543],0,[0.95 0.  ],1
[0.00312893 0.99687107],1,[-9.5   0.95],None
[0.2803134 0.7196866],0,[0.95 0.  ],0
[0.14046909 0.85953091],0,[0.95 0.  ],1
[0.00250788 0.99749212],1,[-9.5   0.95],None
[0.99771507 0.00228493],0,[0.95 0.  ],0
[0.38576128 0.61423872],0,[0.95 0.  ],1
[0.00703091 0.99296909],1,[-9.5   0.95],None
[0.30334676 0.69665324],0,[0.95 0.  ],1
[0.00549033 0.99450967],1,[-9.5   0.95],None
[0.21324467 0.78675533],0,[0.95 0.  ],1
[0.00383041 0.99616959],1,[-9.5   0.95],None
